Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
-0.704545,0.70947,-0.007226,0.01467,-0.007789,-0.43206,0.767785,0.003343,-0.394222,0.657945,1.0
-0.704746,0.708693,0.022291,0.024304,0.00377,-0.430958,0.779197,-0.000451,-0.395174,0.662649,1.0
-0.688578,0.725144,0.004332,-0.002767,0.052564,-0.378601,0.816268,-0.015622,-0.4213,0.684603,0.0
-0.641335,0.767236,0.001778,0.005976,0.028234,-0.401472,0.777697,0.005378,-0.406594,0.666435,1.0
-0.689047,0.724423,0.019287,0.007316,0.00578,-0.411731,0.819768,0.004681,-0.408808,0.675149,1.0
-0.705444,0.708757,0.003093,0.001625,0.016181,-0.322521,0.853778,-0.000481,-0.39038,0.677299,1.0
-0.706716,0.707459,0.005214,0.005143,0.037181,-0.420449,0.927007,0.000116,-0.400507,0.674761,0.0
-0.680396,0.732628,0.017653,-0.002434,0.009638,-0.411984,0.772201,-0.001525,-0.397795,0.656616,1.0
0.708175,-0.705708,-0.01755,-0.012472,0.028877,-0.432717,0.784677,0.000525,-0.397087,0.669319,1.0
-0.508801,0.859226,0.050955,0.016008,0.021918,-0.370741,0.614129,4.122778,2.484586,-15.245247,0.0
0.708376,-0.705174,-0.015627,-0.02624,-0.001128,-0.445848,0.77366,-0.000597,-0.401909,0.665657,1.0
-0.695617,0.718396,0.004035,0.002922,0.001872,-0.377651,0.802703,0.000275,-0.398512,0.673405,1.0
-0.706979,0.706986,0.01593,0.009866,-0.010217,-0.444177,0.847334,-0.00327,-0.412931,0.677636,1.0
-0.707107,0.707107,-0.0,-1e-06,-0.010719,-0.447805,0.932256,1e-06,-0.399998,0.67499,0.0
0.851582,-0.522571,0.041036,0.006652,0.030381,-0.423115,0.704526,-0.096954,-0.28291,0.691289,0.0
-0.707004,0.707085,0.008903,0.009831,0.003094,-0.41398,0.858715,-0.00036,-0.400499,0.67409,1.0
-0.705976,0.708133,0.009426,0.007498,0.002813,-0.404669,0.841394,0.000941,-0.401408,0.675275,1.0
0.730017,-0.682292,0.018251,0.034926,-0.002083,-0.347396,0.774014,0.004799,-0.405669,0.65611,0.0
0.707066,-0.707022,-0.008206,-0.010452,-0.010799,-0.473262,0.871365,0.000174,-0.401321,0.674987,0.0
0.707412,-0.706786,-0.001793,-0.004216,0.011699,-0.347947,0.791774,0.000114,-0.400236,0.673965,1.0
-0.681517,0.731383,-0.003957,0.024431,-0.056492,-0.413511,0.800931,0.004262,-0.418256,0.68098,0.0
0.690321,-0.688666,-0.146853,-0.166222,-0.009108,-0.486781,0.736629,-0.004409,-0.405652,0.642912,1.0
-0.707013,0.707083,0.010231,0.007871,-0.038623,-0.405373,0.83817,0.000181,-0.402679,0.67521,1.0
-0.698078,0.715481,0.013664,0.024227,0.021364,-0.399136,0.805292,0.00192,-0.402478,0.673418,1.0
-0.696726,0.69963,0.068698,0.14273,-0.020001,-0.434808,0.720019,0.012024,-0.380778,0.636875,1.0
-0.679554,0.733555,0.009564,-0.003344,-0.023552,-0.384021,0.821864,0.001033,-0.395634,0.679457,1.0
-0.704022,0.71008,0.005913,0.010187,-0.017214,-0.38111,0.826365,0.004473,-0.395226,0.67379,1.0
-0.706599,0.707495,0.008485,0.009847,0.040494,-0.416525,0.850798,-0.000676,-0.408272,0.677167,1.0
0.706104,-0.697312,-0.091877,-0.082042,-0.020825,-0.442259,0.763831,-0.004055,-0.395013,0.65671,1.0
-0.69728,0.716764,0.000669,0.006964,-0.032671,-0.367054,0.795661,-0.000696,-0.399683,0.673768,1.0
0.709573,-0.70458,0.003267,-0.007853,0.040478,-0.401211,0.876857,0.004907,-0.40243,0.679136,1.0
-0.705694,0.708479,0.004328,0.005983,0.071485,-0.435103,0.802657,-0.000704,-0.395777,0.67499,0.0
-0.674725,0.738003,-0.005007,-0.008503,0.011352,-0.364571,0.77685,-0.000273,-0.403124,0.659978,1.0
0.707135,-0.707024,-0.007172,-0.004971,0.016501,-0.402329,0.849676,0.000535,-0.399448,0.674732,1.0
-0.702867,0.711272,-0.005768,0.006064,-0.010381,-0.340708,0.817765,0.000852,-0.393462,0.673372,1.0
-0.698126,0.715867,0.011018,0.005668,-0.009689,-0.420141,0.800255,0.001456,-0.415558,0.670966,1.0
-0.650426,0.75652,-0.02306,0.063961,-0.043312,-0.402848,0.779646,0.010009,-0.406822,0.662527,1.0
0.709559,-0.70458,-0.000173,-0.009625,0.03508,-0.455101,0.850074,0.004488,-0.412929,0.682302,1.0
0.718194,-0.691336,0.077516,-0.015593,-0.043289,-0.409449,0.747642,0.005261,-0.409911,0.638827,1.0
-0.7022,0.710673,-0.042049,0.009529,-0.005134,-0.395973,0.738263,0.001165,-0.411312,0.630394,1.0
0.744056,-0.666615,-0.031887,-0.031424,0.029473,-0.395985,0.778436,-0.001508,-0.389904,0.661769,0.0
-0.694565,0.719103,0.009128,0.019648,0.01473,-0.406961,0.80275,0.006741,-0.415565,0.673127,1.0
0.731936,-0.67029,-0.06206,0.105496,-0.00177,-0.371016,0.762945,-0.005417,-0.394665,0.656794,0.0
0.716861,-0.697204,0.003587,0.001922,0.011084,-0.379099,0.788336,0.000131,-0.400394,0.67287,1.0
0.702325,-0.699053,0.000675,-0.134404,-0.051221,-0.361117,0.761494,-0.014449,-0.474057,0.694826,0.0
0.711814,-0.701696,-0.016814,-0.025695,0.037175,-0.413779,0.784309,0.005592,-0.407346,0.667254,1.0
