Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
-0.706886,0.707275,0.006709,0.005402,-0.024601,-0.450859,0.919583,-0.027684,-0.41024,0.613872,1.0
0.707788,-0.706402,-0.003513,-0.004496,-0.019253,-0.432372,0.921204,-0.045559,-0.400242,0.644634,1.0
-0.705689,0.70852,0.001314,-0.000787,-0.037621,-0.411052,0.874142,-0.034204,-0.431393,0.620596,1.0
-0.707101,0.707112,0.0,-3e-06,-0.077953,-0.428729,0.896722,0.081325,-0.521424,0.690495,0.0
-0.704922,0.709254,0.006345,0.001689,0.011552,-0.46661,0.886648,-0.041369,-0.451653,0.619327,1.0
0.707749,-0.706453,-0.002697,-0.002765,-0.071277,-0.440423,0.880869,-0.021975,-0.417518,0.615637,1.0
-0.705401,0.708777,0.006696,-0.000376,0.014715,-0.475874,0.857608,-0.037509,-0.451412,0.602351,1.0
-0.706938,0.707275,0.001131,0.000172,-3.5e-05,-0.427898,0.929816,-0.070834,-0.446788,0.621924,1.0
0.710298,-0.703887,0.00364,-0.002445,-0.002096,-0.430557,0.826867,-0.060014,-0.417653,0.589276,1.0
-0.705922,0.70824,0.007045,0.004531,-0.036363,-0.486281,0.940347,-0.013804,-0.451092,0.630021,1.0
0.70761,-0.706583,-0.003012,-0.004493,-0.01214,-0.429296,0.923547,-0.037274,-0.327212,0.650809,1.0
-0.706951,0.707262,-0.000691,-0.000774,0.039175,-0.45806,0.908512,-0.099125,-0.342827,0.658374,0.0
-0.7056,0.708557,0.006936,0.00515,-0.020232,-0.459705,0.890141,-0.043018,-0.431782,0.615649,1.0
0.707988,-0.706204,-0.003628,-0.00404,0.011295,-0.45333,0.858929,-0.055501,-0.416696,0.609922,1.0
0.708064,-0.706134,-0.002585,-0.003746,0.018179,-0.445079,0.90963,-0.088472,-0.457007,0.68114,0.0
-0.706924,0.707288,0.001355,0.000267,-0.042197,-0.400052,0.923663,-0.047484,-0.466709,0.619629,0.0
0.70759,-0.706582,-0.005752,-0.005056,-0.037623,-0.483959,0.878309,-0.026605,-0.45964,0.613071,0.0
0.709046,-0.705121,-0.007118,-0.002609,-0.066647,-0.454177,0.839495,-0.014484,-0.427335,0.598059,0.0
0.710019,-0.704159,-0.002275,-0.005261,-0.060567,-0.458956,0.860738,0.00905,-0.434075,0.604103,0.0
0.707114,-0.7071,6.9e-05,-0.000147,-0.013796,-0.484738,0.959473,-0.01869,-0.486575,0.632805,0.0
