Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
-0.0,0.707107,0.0,0.707107,-0.063353,-0.294449,1.257452,0.022698,-0.456132,0.634799,0
-0.003644,0.707096,0.004707,0.707092,0.023415,-0.466861,0.9345,-0.026805,-0.452981,0.480252,0
-0.018138,0.7064,0.019057,0.707324,0.015722,-0.490659,0.922682,-0.027508,-0.47209,0.517998,0
0.000623,0.7067,-0.000404,0.707513,0.012647,-0.467434,0.97295,-0.052104,-0.496541,0.595548,0
0.404561,0.587038,-0.386454,0.585123,-0.011085,-0.455012,0.827334,-0.001971,-0.438368,0.524496,1
-0.037232,0.707261,0.036643,0.70502,-0.002106,-0.482778,0.827714,1.748308,6.672706,-20.321334,0
0.010331,0.707054,-0.00973,0.707017,-0.046367,-0.422037,0.911285,0.085894,-0.460425,0.688602,1
0.016033,0.706884,-0.015039,0.706988,-0.023494,-0.42121,0.84982,0.207529,-0.504863,0.614699,0
0.010922,0.707033,-0.009992,0.707025,-0.009347,-0.508134,0.860999,-0.491874,-4.48763,-21.55154,0
0.168271,0.682596,-0.15176,0.694778,-0.057884,-0.475843,0.827996,0.006277,-0.607059,0.721667,0
-0.001433,0.707099,0.002137,0.70711,0.008201,-0.446578,0.832938,-1.525987,2.335955,-12.988462,0
0.006561,0.707091,-0.005574,0.70707,-0.039851,-0.484785,0.905031,-0.02353,-0.468145,0.521088,0
0.024405,0.706719,-0.023356,0.706688,-0.033987,-0.464619,0.869139,0.294772,-0.595207,0.623182,0
-0.004874,0.706847,0.006128,0.707323,-0.029784,-0.445013,0.927982,0.081989,-0.569078,0.719135,0
0.015783,0.706792,-0.015304,0.707079,-0.004247,-0.434065,0.889431,0.040165,-0.459625,0.597628,0
-0.001559,0.707093,0.002416,0.707115,0.01376,-0.460466,0.836921,-1.544386,3.855019,-20.01425,0
-0.001149,0.706864,0.001312,0.707348,0.006897,-0.446773,0.969393,-0.051227,-0.43827,0.661922,1
0.060955,0.704426,-0.06002,0.704604,-0.031181,-0.457409,0.870519,-0.041448,-0.427899,0.590321,0
0.001486,0.707133,-0.001341,0.707077,-0.05338,-0.471845,0.995162,0.044529,-0.530343,0.708777,1
0.02219,0.706848,-0.021014,0.706705,0.00449,-0.473407,0.897567,-0.018097,-0.444797,0.518054,0
0.002572,0.707127,-0.001587,0.707081,0.004751,-0.454002,0.895167,0.009578,-0.427582,0.498442,0
-0.000348,0.707137,0.000833,0.707076,0.037368,-0.44053,0.968058,0.068964,-0.51427,0.596931,0
0.033448,0.706155,-0.03229,0.706529,-0.056323,-0.483493,0.889378,0.065454,-0.431559,0.736443,1
0.010275,0.706961,-0.009239,0.707118,0.014394,-0.456918,0.847997,3.810182,-0.748719,-14.194098,0
0.067831,0.703753,-0.064884,0.704216,-0.055057,-0.396565,0.82778,0.060929,-0.632047,0.470073,0
-0.020651,0.706799,0.021678,0.706781,0.0519,-0.431481,0.892608,0.039798,-0.988287,0.485965,0
-0.015468,0.707227,0.015982,0.706636,-0.064898,-0.435742,0.886996,0.042558,-0.486663,0.650445,1
0.024456,0.706865,-0.023573,0.706532,-0.084052,-0.421867,0.91724,-0.092624,-0.533278,0.780239,0
0.000423,0.707091,0.00057,0.707123,0.028614,-0.457488,0.836533,4.411142,-0.775387,-23.475502,0
-0.022282,0.7069,0.023164,0.706583,-0.00888,-0.466609,0.920419,0.063121,-0.467047,0.619613,1
0.031473,0.706542,-0.030761,0.706302,0.010065,-0.429168,0.911042,0.079858,-0.420696,0.642436,1
-0.017835,0.706861,0.01873,0.706879,-0.01429,-0.461893,0.835297,2.994777,1.685717,-12.642717,0
-0.014276,0.706717,0.01496,0.707194,-0.067155,-0.424604,0.906085,0.005718,-0.495874,0.619721,0
0.014212,0.707163,-0.013601,0.706777,-0.001216,-0.420785,0.908554,0.010106,-0.435397,0.471363,0
0.089582,0.701514,-0.089385,0.70133,-0.044264,-0.392216,0.847627,-0.048871,-0.492074,0.571329,0
0.035607,0.705968,-0.034711,0.706496,-0.045839,-0.44147,0.896274,0.089096,-0.480843,0.689491,0
0.008056,0.707076,-0.00704,0.707057,-0.071917,-0.512935,0.880856,0.064047,-0.394484,0.614702,0
