Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
-0.0,1.4e-05,1e-06,1.0,-0.385257,-0.452594,0.790981,-3e-06,-0.4,0.674977,0.0
-1.4e-05,-0.0,1.0,1e-06,0.234225,-0.380511,0.789731,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.006003,-0.411536,1.023628,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,0.048481,-0.350478,0.980331,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,0.001265,-0.681848,0.801991,-3e-06,-0.4,0.674977,1.0
-0.707107,0.707107,1e-05,1e-05,0.025636,-0.045786,0.804054,-3e-06,-0.4,0.674977,0.0
-0.0,1.4e-05,1e-06,1.0,-0.236859,-0.415099,0.79556,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.018678,-0.392519,1.12825,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,-0.01122,-0.365662,0.931445,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.011891,-0.353989,0.917781,-3e-06,-0.4,0.674977,1.0
0.707107,0.707107,-1e-05,1e-05,0.041811,-0.636421,0.783908,-3e-06,-0.4,0.674977,1.0
-1.4e-05,-0.0,1.0,1e-06,0.181288,-0.439244,0.789324,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,-0.043422,-0.360999,1.024685,-3e-06,-0.4,0.674977,1.0
-1.4e-05,-0.0,1.0,1e-06,0.296859,-0.387648,0.791763,-3e-06,-0.4,0.674977,1.0
-0.707107,0.707107,1e-05,1e-05,0.033432,-0.106457,0.787665,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.00404,-0.363879,1.01368,-3e-06,-0.4,0.674977,1.0
-0.0,1.4e-05,1e-06,1.0,-0.228826,-0.355757,0.792832,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.015111,-0.407257,0.933789,-3e-06,-0.4,0.674977,1.0
0.707107,0.707107,-1e-05,1e-05,-0.01449,-0.657819,0.783126,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,-0.030091,-0.441525,0.780641,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,0.038033,-0.737951,0.793074,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,-0.023386,-0.519528,0.790909,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,0.016683,-0.666408,0.790325,-3e-06,-0.4,0.674977,1.0
-0.0,1.4e-05,1e-06,1.0,-0.196666,-0.339824,0.797423,-3e-06,-0.4,0.674977,1.0
-1.4e-05,-0.0,1.0,1e-06,0.247276,-0.375202,0.816048,-3e-06,-0.4,0.674977,0.0
0.707107,-0.707107,-1e-05,-1e-05,-0.020147,-0.173879,0.790383,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.012391,-0.373062,1.108953,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,-0.03379,-0.403309,0.916234,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,-0.014862,-0.530097,0.775738,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,0.000903,-0.371479,0.913127,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,-0.024108,-0.332313,1.028494,-3e-06,-0.4,0.674977,1.0
-1.4e-05,-0.0,1.0,1e-06,0.247118,-0.333471,0.78405,-3e-06,-0.4,0.674977,1.0
1e-06,0.707107,1e-06,0.707107,0.057994,-0.34462,0.990047,-3e-06,-0.4,0.674977,0.0
-0.0,1.4e-05,1e-06,1.0,-0.253372,-0.389899,0.795171,-3e-06,-0.4,0.674977,1.0
0.707107,-0.707107,-1e-05,-1e-05,-0.040371,-0.146093,0.768114,-3e-06,-0.4,0.674977,1.0
0.707107,0.707107,-1e-05,1e-05,0.034377,-0.370174,0.784835,-3e-06,-0.4,0.674977,0.0
0.707107,0.707107,-1e-05,1e-05,-0.019273,-0.597061,0.770306,-3e-06,-0.4,0.674977,0.0
1e-06,0.707107,1e-06,0.707107,0.033391,-0.361831,1.100448,-3e-06,-0.4,0.674977,0.0
-0.0,1.4e-05,1e-06,1.0,-0.227214,-0.376286,0.789954,-3e-06,-0.4,0.674977,1.0
